,make,model,year,style,distance,engine_capacity,fuel_type,transmission,price
192,66,383,2013.0,6,165000.0,1500.0,0,1,7500.0
193,35,242,2018.0,4,36000.0,1500.0,5,0,18499.0
194,79,762,2015.0,6,102000.0,1800.0,4,0,12500.0
195,8,76,2004.0,10,2899.0,2500.0,4,1,6100.0
196,58,535,2003.0,3,208367.0,2000.0,4,1,4600.0
197,82,728,2011.0,6,168000.0,1400.0,4,1,7999.0
198,79,572,2019.0,4,2500.0,1800.0,5,0,18999.0
199,43,684,2017.0,3,0.0,2200.0,0,0,21490.0
200,82,737,2004.0,5,190000.0,1896.0,0,1,6300.0
201,72,524,2011.0,11,210000.0,1400.0,4,1,6400.0
202,50,474,2014.0,10,160000.0,2000.0,2,0,12200.0
203,66,655,2004.0,11,180000.0,1500.0,0,1,3300.0
204,55,665,1984.0,11,100000.0,2400.0,0,1,1000.0
205,79,451,2007.0,3,202000.0,2700.0,3,0,14600.0
206,82,558,2017.0,4,170000.0,1422.0,0,1,8200.0
207,71,410,2001.0,4,1288776.0,1400.0,4,1,1400.0
208,79,257,2005.0,4,252.0,1400.0,0,1,4600.0
209,82,421,2013.0,10,198000.0,1400.0,2,0,8400.0
210,43,619,2004.0,11,183454.0,1300.0,4,1,2500.0
211,8,784,2013.0,3,104000.0,2979.0,4,0,30900.0
212,79,257,2006.0,4,119000.0,1600.0,4,0,5700.0
213,61,259,2007.0,4,283000.0,1300.0,0,1,3499.0
214,79,145,2017.0,4,146000.0,1800.0,2,0,11900.0
216,27,183,2016.0,5,141000.0,1500.0,0,1,9000.0
217,66,489,2013.0,6,220000.0,1500.0,0,1,5000.0
218,66,383,2008.0,4,232012.0,1500.0,0,1,3700.0
219,43,684,2018.0,9,38999.0,2000.0,0,0,24800.0
220,60,593,2014.0,3,219000.0,1500.0,0,1,10999.0
221,47,345,2007.0,9,300000.0,2200.0,0,0,9200.0
222,53,87,1994.0,10,300000.0,200.0,3,1,18000.0
223,79,570,2011.0,4,121000.0,1800.0,2,0,7900.0
224,37,486,2004.0,11,250000.0,1500.0,0,1,4000.0
225,61,807,2002.0,6,11111111.0,2000.0,3,1,3700.0
226,79,145,2014.0,11,200000.0,1390.0,0,1,8600.0
228,82,212,2013.0,11,174000.0,2000.0,0,1,9650.0
233,6,583,2013.0,9,143000.0,2000.0,4,0,17850.0
235,82,375,2009.0,11,200000.0,1400.0,4,1,4800.0
236,82,546,1994.0,10,68204075.0,1800.0,4,1,1550.0
237,60,593,2007.0,3,137660.0,1500.0,0,1,6600.0
238,61,143,2011.0,11,213548.0,1300.0,0,1,5650.0
239,79,799,2006.0,10,193096.0,1500.0,4,1,3700.0
240,61,214,1992.0,2,400000.0,2000.0,3,1,1600.0
241,66,430,2016.0,3,150425.0,1500.0,0,0,14990.0
242,27,350,2018.0,10,105000.0,2000.0,2,0,15000.0
243,82,545,2000.0,1,191000.0,1800.0,3,0,3850.0
244,66,244,1998.0,4,129448.0,1600.0,4,0,2399.0
245,66,381,2015.0,6,168000.0,1600.0,0,0,18650.0
246,8,51,1994.0,10,180000.0,1600.0,4,1,2400.0
247,79,570,2016.0,4,0.0,1800.0,2,0,12350.0
248,72,801,2015.0,3,150000.0,1400.0,4,0,11000.0
249,47,280,2007.0,9,223000.0,2700.0,0,0,15000.0
250,82,668,2011.0,11,141000.0,1400.0,4,1,9800.0
251,19,460,2013.0,11,0.0,1500.0,0,1,7490.0
253,55,289,2006.0,10,250000.0,2200.0,0,0,9999.0
254,61,143,2011.0,11,176000.0,1300.0,0,1,6000.0
255,6,111,2008.0,11,275.0,2000.0,4,0,7999.0
256,66,383,2014.0,11,167000.0,1500.0,0,0,8600.0
257,19,461,2009.0,11,1.0,1600.0,3,1,3600.0
258,8,88,2008.0,10,387000.0,300.0,4,0,12000.0
259,8,88,2011.0,10,180000.0,2999.0,0,0,22000.0
260,62,95,2006.0,6,170000.0,2000.0,0,0,2000.0
261,35,201,2013.0,9,178500.0,2200.0,0,1,15700.0
262,72,703,2012.0,10,265000.0,1800.0,4,0,8999.0
263,55,289,2002.0,10,331200.0,2200.0,0,0,6399.0
264,72,703,2017.0,10,120000.0,1999.0,4,0,23900.0
265,8,76,2011.0,10,123.0,2000.0,0,0,16600.0
266,82,421,2013.0,10,110000.0,1400.0,2,0,8000.0
267,37,820,2010.0,7,190000.0,2000.0,0,0,12000.0
268,79,573,2014.0,4,144947.0,1496.0,2,0,7499.0
269,66,383,2012.0,11,180000.0,1500.0,0,1,7499.0
270,8,783,2012.0,9,157000.0,3000.0,4,0,17499.0
271,66,712,2016.0,10,151130.0,1500.0,0,1,12499.0
272,61,490,2005.0,4,0.0,1400.0,4,1,3550.0
273,66,489,2006.0,11,170000.0,2000.0,3,1,2900.0
274,60,425,2011.0,9,155000.0,1600.0,4,0,9300.0
275,75,739,2011.0,4,116000.0,1400.0,0,0,7300.0
276,19,461,2007.0,10,185000.0,1500.0,0,1,3400.0
277,60,777,2015.0,9,124000.0,1600.0,0,0,13000.0
278,55,178,2015.0,11,222000.0,2000.0,5,0,17500.0
279,79,614,2016.0,3,133494.0,2494.0,2,0,21500.0
280,55,626,2001.0,10,250830.0,4000.0,0,0,4700.0
281,8,76,2011.0,10,1.0,2000.0,0,0,17500.0
282,22,821,2016.0,10,150000.0,1596.0,3,1,3200.0
283,71,410,2011.0,11,190000.0,1200.0,0,1,5100.0
284,60,425,2012.0,3,124000.0,1600.0,4,0,9999.0
285,6,111,1997.0,10,300000.0,1800.0,3,0,2700.0
287,18,192,2006.0,11,240000.0,1600.0,0,1,2700.0
288,55,178,2015.0,10,75000.0,2000.0,4,0,19000.0
289,81,41,1982.0,4,1563215.0,1600.0,4,1,1050.0
290,18,167,2004.0,6,1.0,200.0,0,1,2000.0
291,8,781,2009.0,9,192000.0,200.0,0,1,11000.0
292,27,334,2011.0,4,130000.0,1400.0,3,1,4700.0
293,82,728,2009.0,11,168.0,1400.0,4,0,7390.0
294,66,489,2004.0,4,79593986.0,1600.0,4,1,1050.0
295,83,789,2015.0,9,180000.0,2000.0,4,0,26500.0
296,66,489,2014.0,11,210000.0,1500.0,0,1,7199.0
297,8,76,2017.0,10,77000.0,2000.0,0,0,33000.0
298,37,650,2012.0,9,180000.0,2200.0,0,0,16750.0
299,72,703,2012.0,10,196000.0,1600.0,0,1,9950.0
300,62,57,2006.0,2,150.0,1600.0,4,1,1500.0
305,8,781,2015.0,3,159000.0,1996.0,0,0,20500.0
306,8,51,2003.0,4,190.0,1995.0,4,0,2000.0
307,60,522,2013.0,4,172000.0,1461.0,0,1,6299.0
309,79,614,2019.0,3,19000.0,2500.0,2,0,30000.0
310,83,789,2015.0,9,155000.0,1996.0,4,0,27800.0
311,48,204,2016.0,4,64000.0,1798.0,2,0,16000.0
312,66,382,2011.0,4,174000.0,1461.0,0,1,4550.0
313,79,145,2010.0,4,187000.0,1400.0,0,1,6500.0
314,79,145,2007.0,4,235000.0,1500.0,0,1,5400.0
315,66,655,2012.0,11,1.0,1500.0,0,1,6200.0
316,8,88,2017.0,10,92000.0,2993.0,0,0,45000.0
317,82,212,2014.0,6,180000.0,1600.0,0,1,5800.0
318,61,259,2011.0,4,125000.0,1300.0,0,1,3750.0
319,79,150,2005.0,4,260.0,200.0,4,1,5300.0
320,35,201,2013.0,3,192000.0,2200.0,0,0,17500.0
321,58,688,1995.0,6,300000.0,2000.0,3,1,2500.0
322,82,558,2007.0,4,240000.0,1400.0,0,1,3750.0
323,6,113,2018.0,10,0.0,1800.0,4,0,25999.0
324,37,650,2015.0,3,161000.0,2000.0,0,0,18000.0
325,53,81,2014.0,10,230000.0,2200.0,0,0,13000.0
326,82,212,2015.0,5,152000.0,1600.0,0,1,10300.0
327,8,76,2006.0,10,312000.0,2500.0,4,0,7800.0
328,8,76,2002.0,10,251000.0,2499.0,0,1,4650.0
329,55,289,2019.0,10,50000.0,2200.0,0,0,37000.0
330,82,375,2009.0,11,180000.0,1400.0,4,1,5300.0
331,79,257,2007.0,11,226000.0,1400.0,0,1,5500.0
332,6,111,2004.0,0,200000.0,1800.0,4,0,6500.0
333,82,212,2012.0,6,163500.0,200.0,0,1,14200.0
334,79,145,2013.0,4,133000.0,1798.0,2,0,10000.0
335,82,421,2013.0,10,131000.0,1400.0,2,0,8500.0
336,61,143,2006.0,11,368000.0,1300.0,0,1,3650.0
337,8,51,2006.0,10,180000.0,300.0,4,0,6000.0
339,72,328,2011.0,11,160000.0,1200.0,0,1,4999.0
340,72,524,2010.0,11,1.0,1400.0,4,1,5350.0
341,55,289,2016.0,10,161024.0,2200.0,0,0,26950.0
342,35,240,2006.0,4,195000.0,1400.0,4,1,5400.0
343,27,350,2015.0,10,124000.0,2000.0,5,0,11499.0
344,27,350,2003.0,4,330000.0,1400.0,0,0,4100.0
345,19,461,2005.0,10,21548.0,1400.0,3,1,2200.0
346,82,375,2004.0,4,200000.0,1399.0,4,1,4200.0
347,55,360,2014.0,3,131000.0,2200.0,0,0,19900.0
348,66,655,2002.0,5,100.0,1600.0,3,1,1000.0
349,79,222,1998.0,10,268000.0,1800.0,4,1,2650.0
350,35,201,2014.0,3,128200.0,2200.0,0,0,17999.0
351,83,789,2006.0,9,162000.0,2900.0,3,0,8490.0
352,82,728,2012.0,6,211856.0,200.0,0,0,6000.0
353,82,558,1998.0,4,98000.0,1000.0,4,1,900.0
354,79,216,2015.0,10,73179.0,2500.0,4,0,14000.0
355,6,92,1993.0,10,11111111.0,200.0,3,1,1150.0
356,6,111,2012.0,10,88000.0,3000.0,4,0,14800.0
357,37,820,2014.0,3,150300.0,2000.0,4,0,13200.0
